Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
GU,Manure applied to Soils,18,Bhutan,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,391809.3491,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,19,Bolivia (Plurinational State of),72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,95171155.98,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,19,Bolivia (Plurinational State of),723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,28551346.79,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,19,Bolivia (Plurinational State of),723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,19034231.2,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,80,Bosnia and Herzegovina,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,32168008.07,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,80,Bosnia and Herzegovina,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,9650402.421,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,80,Bosnia and Herzegovina,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,6433601.614,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,20,Botswana,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,2882916.483,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,20,Botswana,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,864874.945,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,20,Botswana,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,576583.2967,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,21,Brazil,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,1710078343,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,21,Brazil,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,513023503,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,21,Brazil,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,342015668.7,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,239,British Virgin Islands,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,44709.9706,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,239,British Virgin Islands,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,13412.9912,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,239,British Virgin Islands,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,8941.9941,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,26,Brunei Darussalam,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,3707743.125,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,26,Brunei Darussalam,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,1112322.937,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,26,Brunei Darussalam,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,741548.6249,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,27,Bulgaria,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,37775146.99,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,27,Bulgaria,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,11332544.1,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,27,Bulgaria,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,7555029.399,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,233,Burkina Faso,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,56751480.61,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,233,Burkina Faso,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,17025444.18,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,233,Burkina Faso,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,11350296.12,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,29,Burundi,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,9513390.921,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,29,Burundi,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,2854017.276,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,29,Burundi,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,1902678.184,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,35,Cabo Verde,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,1419206.525,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,35,Cabo Verde,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,425761.9574,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,35,Cabo Verde,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,283841.3049,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,115,Cambodia,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,58482230.41,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,115,Cambodia,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,17544669.12,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,115,Cambodia,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,11696446.08,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,32,Cameroon,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,37599046.87,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,32,Cameroon,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,11279714.06,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,32,Cameroon,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,7519809.375,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,33,Canada,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,237124913.7,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,33,Canada,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,71137474.1,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,33,Canada,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,47424982.73,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,36,Cayman Islands,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,36623.7051,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,36,Cayman Islands,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,10987.1115,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,36,Cayman Islands,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,7324.741,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,37,Central African Republic,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,21072050.54,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,37,Central African Republic,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,6321615.161,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,37,Central African Republic,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,4214410.107,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,39,Chad,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,48414784.03,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,39,Chad,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,14524435.21,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,39,Chad,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,9682956.806,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,40,Chile,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,127549145.7,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,40,Chile,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,38264743.71,A,"Aggregate, may include official, semi-official, estimated or calculated data"
