iso3c,n_amr_events,health_expend_perc,ln_migrant_pop_per_capita,ln_population,ab_export_bin,english_spoken,human_consumption_ddd,ln_livestock_consumption_kg_per_pcu,ln_livestock_pcu,ln_ab_export_per_capita,ln_ab_import_per_capita,ln_gdp_per_capita,ln_tourism_outbound_per_capita,ln_tourism_inbound_per_capita,ln_pubcrawl_per_capita,ln_promed_mentions_per_capita
EST,0,6.48181399,-1.8719124150198396,14.089656681410414,1,0,4.368606090545654,-10.123744829599847,20.205396236158077,-2.347201380918729,1.1373347526644924,9.771225650125068,NA,1.4656180506635343,-10.365705691094696,-8.462035567719777
SWZ,0,7.772143,-3.5542427384003283,13.91449036009745,NA,1,NA,-10.212651772131647,18.597333120345905,1.7723794704949818,NA,8.213251296083373,NA,0.12895226591283188,-12.820867229941685,-8.611185452038374
ETH,0,3.97593223,-4.5430791274251225,18.429000617619447,0,1,NA,-10.115086854690007,22.650518346934238,1.7723794704949818,-2.0728514119489505,6.4623145232787245,NA,NA,-13.326117929869604,-11.239078446873641
FJI,0,3.56886339,-4.1458022553806,13.674669083103545,0,1,NA,-9.976876375405912,19.868673564881973,1.7723794704949818,-6.3843762006569476,8.592438917261646,NA,4.2932114398447227e-4,-14.038281203938208,-8.556675270686789
FIN,13,9.74289421,-2.8534092319544224,15.516530071320078,1,0,7.191944122314453,-11.297521940264017,22.756691573489842,-2.7838135724969186,-2.1395234832945986,10.664555333090384,0.6037631631817292,NA,-8.349260341658155,-9.106355189353911
FRA,67,11.50136047,-2.1464809196362262,18.01411552093964,1,0,12.889975547790527,-10.105035550558124,24.139888035829358,0.7559796444422511,2.7597689567507215,10.508168895690458,-0.7773435502774702,1.116087595288852,-9.720018494960343,-9.342314611296965
GAB,0,2.65743937,-1.981978489442727,14.482152559226865,1,0,NA,-9.833664242931892,17.88778471218957,-4.982581314809051,NA,8.906765576379883,NA,NA,-10.923367462259638,-8.073623768167367
GMB,0,4.76148864,-2.382632594864686,14.550691798196643,0,1,NA,-10.292423406416855,17.90377634421073,1.7723794704949818,-4.1983604142504065,6.493335554567648,NA,NA,-12.90792440400099,-8.613155593114216
GEO,0,7.93235924,-3.0941697915956716,15.130651501010707,0,0,NA,-10.04200779846314,19.13969549260275,1.7723794704949818,-2.2764606574599098,8.297589852197985,NA,0.34422933813587686,-11.575474451000066,-7.964385526877068
DEU,21,11.07906625,-1.9175094043140184,18.21840066635147,1,0,7.063653469085693,-9.197801437609419,23.648606826628107,0.5024546682679688,2.431819406910313,10.624725092862574,NA,NA,-9.470318913949546,-9.391225894988684
GHA,0,6.08769695,-4.244418527333951,17.14231497814916,0,0,NA,-10.052600451559005,20.069733546555383,1.7723794704949818,-0.557123672006195,7.476475609356744,NA,NA,-11.250976026170104,-8.860084914852473
GRC,36,8.19431265,-2.164341131690858,16.196988436185933,1,1,14.629643440246582,-9.619988595054707,20.70009878682945,-2.587185694257205,1.6278480245932871,9.807404628672398,NA,0.8809936907641871,-9.941628873346676,-9.060505227595687
GRD,0,4.86385599,-2.742808218366006,11.604583529366836,NA,1,NA,NA,NA,1.7723794704949818,NA,9.115685748302928,NA,1.383104944710891,-14.038281203938208,-7.461448802975304
GTM,0,5.51590055,-5.3606434270349475,16.603752932492537,1,0,NA,-9.916729283288586,21.431969451813824,-1.7611040219296865,-0.5163171349201626,8.274758084816314,-2.666024741804012,-2.1649813214324825,-12.498129971524943,-10.43414220000108
GIN,0,5.82712195,-3.9130240234203977,16.251934696252906,0,0,NA,-10.139104458758458,20.348276394173553,1.7723794704949818,-5.800563046600206,6.645423831845972,NA,NA,-12.83690916303757,-6.674177283806089
GNB,0,6.51981283,-4.353965646699585,14.36778633092006,0,0,NA,-10.356133699123587,18.488428242056433,1.7723794704949818,-6.903849726451135,6.402180036049904,NA,NA,-12.610009849959416,-7.6560459358638795
GUY,0,4.45280875,-3.9097218679011854,13.550805155169801,0,1,NA,-9.554650478863916,18.229578327934583,1.7723794704949818,-3.6434725045074097,8.334742470024617,NA,NA,-10.397548850655012,-7.9376770487817305
HTI,0,5.3723227,-5.600547718373275,16.185337577101425,0,0,NA,-10.135698391079663,19.823054267066425,1.7723794704949818,-5.714974934948285,6.704081314721083,NA,-2.195873712013713,-13.070626630949853,-8.028253792072555
HND,0,7.71396922,-5.782746636478624,16.025203305834552,0,0,NA,-9.830742271020092,20.09999416318511,1.7723794704949818,-2.342040840870026,7.741621065630309,-2.0699308054951198,-1.4710943044064158,-12.85213010408404,-9.663900828261557
HUN,0,7.12069992,-3.086089195862416,16.102273945268482,1,1,7.282086372375488,-9.088138944102372,21.347876662591307,2.1771762489526645,0.920989280382822,9.445536466099314,0.5625548677942459,1.5915994166313021,-10.406254252187033,-9.968875902271835
ISL,0,8.34576615,-2.176631879119186,12.709314585722742,1,1,NA,NA,NA,-3.6015608025216608,3.0300187966375653,10.867207442118554,NA,1.4347800360137384,-8.641983204398965,-5.609287419093483
IND,129,3.59770551,-5.521394059936744,20.99340930556065,1,0,4.957768440246582,-10.049107446778283,24.384870036102598,-0.3846169177053423,-0.28839133873897155,7.381256180068744,NA,NA,-12.776695690712508,-10.929632808095143
IDN,4,3.0053613,-6.666609693956486,19.36995452901158,1,1,3.6412718296051025,-9.776393240079507,23.02403709966284,-6.979333640926582,-1.0392793711313064,8.111236500777062,NA,-3.211965314391584,-12.306043204008025,-11.375659542595603
IRN,33,7.76057939,-3.3600100545892704,18.17851000586025,1,0,NA,-8.94241180495271,22.22912189639438,-6.548939930771936,0.3393343083976001,8.500267951804778,-2.4729040779470584,-2.7072506325986243,-11.437473576057155,-11.304311510406954
IRQ,0,3.10581652,-4.61036072929629,17.38707670670628,0,0,NA,-9.946316108017873,20.019684840127375,1.7723794704949818,-2.7746113576575118,8.515151723985017,NA,NA,-12.311906066477494,-9.86413578863391
IRL,38,7.44604196,-1.8406600190615003,15.363489362995674,1,1,11.411356925964355,-9.980986815195052,21.737925425757368,4.946731353423031,3.366674255302851,11.03481583515667,0.4112705513200303,NA,-10.049113762808734,-8.443805513148263
ISR,0,7.37530683,-1.4268662904503777,15.94137040556129,1,1,NA,-9.532389657963403,21.040244149160454,0.6257788186144481,1.5854501818973943,10.485054782649062,NA,-0.9915587165203995,-9.979666039695243,-8.073116140040678
ITA,59,8.98541669,-2.3505094210775286,17.921957951229782,1,0,11.4661865234375,-8.761027049378326,22.478758073907542,2.5571066038122727,3.2589146053992186,10.316597573757049,-0.05608955024851826,0.28884091539156026,-9.441860108578673,-9.668209607901279
JAM,0,5.65847448,-4.8266361536241496,14.87712028489462,0,1,NA,-9.589978136592867,19.770891979174927,1.7723794704949818,-2.0474191738801037,8.498520684121427,NA,0.2445585897102608,-11.521071115616662,-9.339786017876083
JPN,75,10.87187938,-4.130448212417062,18.660807264786893,1,0,5.29917573928833,-9.460195061869264,23.12357698155929,1.1322691093800086,1.1447797331102199,10.449423622936825,-2.059421640257104,-1.8628016600506492,-10.328854139031474,-10.271447444880542
JOR,0,6.2844915,-1.0911398788561952,16.041924397857496,1,1,6.296494007110596,-9.58067026716218,20.543362028449366,-1.5612526391087997,1.5418387478564994,8.320070385171038,-1.7359950259048957,-0.655924677597698,-11.436695008621953,-9.219727007237008
KAZ,0,3.08749265,-1.598604365613887,16.680154509308306,0,1,7.5210442543029785,-9.945849163870685,21.70620429166832,1.7723794704949818,-1.098447981818468,9.260155904410599,-0.4395757741354389,-1.003669413094505,-10.420162407578044,-9.366934122218005
KEN,5,4.89013852,-3.787675941943627,17.684173684499584,1,1,NA,-10.11389926357176,22.549679183959768,-7.432214745375413,-1.3590850838942712,7.198096325013989,NA,-3.7023015893200855,-12.642403182798196,-9.028088494216728
KIR,0,7.84410495,-3.5605449911876446,11.616654650732706,NA,1,NA,NA,NA,1.7723794704949818,NA,7.341208538760656,NA,-2.604765217480361,-14.038281203938208,-8.21545726907055
KWT,8,4.01473617,-0.29135874867985917,15.159834087820283,0,1,6.283645153045654,-9.612116720093143,18.726750206128905,1.7723794704949818,-1.8325492169561606,10.304594155840803,NA,0.5931223265014381,-10.167657284975938,-9.610758002925063
KGZ,0,7.21937462,-3.3723146986849764,15.600060769496613,0,0,NA,-9.987386827066938,19.05000203295859,1.7723794704949818,-3.565412649654504,7.022050314282716,-0.3962578477497752,-0.3982558504124482,-11.170921196171891,-8.949781720909192
LAO,0,2.45366446,-5.713915579966792,15.723743168274247,0,1,NA,-10.210637435297444,20.066814576493467,1.7723794704949818,-4.069439676193195,7.666086926235939,-0.7875327251778576,-0.3640801645745012,-12.354245294910713,-8.816988389625692
LVA,0,5.71063679,-2.0169693482471502,14.49735763213377,1,0,5.1635050773620605,-10.721675748108135,20.105325526635518,-2.042746630269445,-0.32301817066812427,9.525073586741707,-0.13952278334413473,1.2412330123859165,-10.451773982433936,-8.200248312199836
LBN,35,7.82593249,-1.1847824045857003,15.692327524379191,0,1,9.299132347106934,-9.604972706071178,20.09321956281101,1.7723794704949818,0.2576939126701041,8.94243904564817,NA,NA,-11.41123999933913,-9.554600470292957
LSO,0,8.34570567,-5.747167705926546,14.537741185083705,NA,1,NA,-10.292624512430903,20.418528178134054,1.7723794704949818,NA,7.013988710030841,NA,-0.6434194466951412,-12.179196519183535,-9.677928780722032
LBR,0,10.18906067,-3.6713844742463757,15.31339772362155,NA,1,NA,-10.659746047441322,18.288242121708926,1.7723794704949818,NA,6.565805468612241,NA,NA,-12.601027387090452,-6.233621721666483
LBY,0,NA,-2.119033181078004,15.674666180158022,0,1,NA,-9.655202546539051,20.40008625379103,1.7723794704949818,-3.0025257657287048,8.375150051100938,NA,NA,-9.952045705727507,-9.370217377736042
