iso3c,n_amr_events,pubs_sum,promed_mentions,gdp_dollars,health_expend_perc,migrant_pop_perc,population,english_spoken,human_consumption_ddd,country,region,continent,ab_export_perc,ab_import_perc,livestock_consumption_kg_per_capita,gdp_per_capita,tourism_outbound_perc,tourism_inbound_perc,pubs_sum_per_capita,promed_mentions_per_capita
BHS,0,1.246031693,88,11792300000,5.98754448,15.84848986921642,374206,TRUE,NA,Bahamas,Caribbean,Americas,0,4.4749234670081326e-4,NA,31512.856554945673,NA,1633.3249600487432,3.3298014810024425e-6,2.351645884886934e-4
BIH,0,21.17340202,251,16211541253.1897,9.34804253,1.0148537876298238,3429361,FALSE,7.459571361541748,Bosnia & Herzegovina,Southern Europe,Europe,4.235198796196567e-5,0.0019886357809228566,NA,4727.27754622208,NA,NA,6.174153733013235e-6,7.319147794589137e-5
BLM,0,NA,58,NA,NA,NA,NA,NA,NA,St. Barthélemy,Caribbean,Americas,NA,NA,NA,NA,NA,NA,NA,NA
BLR,0,131.8655574,720,56454734396.5842,6.06528028,11.411473340965536,9489616,FALSE,NA,Belarus,Eastern Europe,Europe,0.008389446732188624,0.0811002845365795,NA,5949.10630699748,73.46978002060358,46.21894078748814,1.3895773801595343e-5,7.587240621749078e-5
BLZ,0,2.68242444,246,1762500450,5.88424805,14.922437128220473,360933,TRUE,NA,Belize,Central America,Americas,0,0.002605956781457843,NA,4883.179011062995,NA,359.9005909684069,7.431917945989977e-6,6.815669390163825e-4
BMU,0,NA,31,NA,NA,29.316819693741472,65239,NA,NA,Bermuda,Northern America,Americas,NA,NA,NA,NA,NA,915.09679792762,NA,4.751758917212097e-4
BOL,0,153.0160412,1056,33000198263.3864,6.42235639,1.3154788573405227,10869730,FALSE,NA,Bolivia,South America,Americas,0,0.01572888713750218,NA,3035.972214892771,NA,NA,1.4077262379102332e-5,9.715052719800768e-5
BRA,50,3424.678507,40549,1802214373741.32,11.4647339,0.34898118380342275,204471769,FALSE,5.8552422523498535,Brazil,South America,Americas,0.0027730813269594644,0.01485085086267413,NA,8814.00098681261,NA,NA,1.6748906334350733e-5,1.983109951966034e-4
BRB,0,0,89,4584150000,7.01271476,12.08275504338927,285324,TRUE,NA,Barbados,Caribbean,Americas,0,0.002258740878897942,NA,16066.471800479454,NA,413.21445093998403,0,3.1192609104036114e-4
BRN,0,8.195549328,53,12930394937.8137,2.3870891,24.760488495012137,414907,TRUE,NA,Brunei,South-Eastern Asia,Asia,0,0.001278137758319267,NA,31164.562029114233,NA,NA,1.9752738150959132e-5,1.277394693268612e-4
BTN,0,3.668957093,625,2059809919.89325,3.65892296,7.021250872401343,727876,FALSE,NA,Bhutan,Southern Asia,Asia,NA,NA,NA,2829.891245065437,NA,NA,5.040634796311459e-6,8.586627392577857e-4
BWA,0,76.19816962,853,14420604205.7459,5.96507028,7.574988824529074,2120716,TRUE,NA,Botswana,Southern Africa,Africa,NA,NA,NA,6799.875233527686,NA,78.27545036676293,3.593039785619574e-5,4.0222264555932994e-4
CAF,0,58.19871156,790,1709221159.20294,6.30899109,1.8160452420006366,4493170,FALSE,NA,Central African Republic,Middle Africa,Africa,0,8.289155516075494e-4,NA,380.4042934504904,NA,NA,1.2952706343183098e-5,1.7582241490974077e-4
CAN,98,3801.184303,9677,1552899925233.71,10.37650812,21.946397195432933,35702908,TRUE,7.2478880882263184,Canada,Northern America,Americas,4.741632896203426e-4,0.01357848256630354,0.04063467323165945,43495.05438699027,156.7687427589932,77.17858724561036,1.0646707833994923e-4,2.7104234758692483e-4
CHE,1,806.8839503,1926,679832291693.257,11.89380635,29.444402320294756,8282396,FALSE,5.1586756706237793,Switzerland,Western Europe,Europe,0.19367674188593703,0.05439108850199203,0.0070174138015134755,82081.59712397921,266.66196593352936,NA,9.742156138151327e-5,2.3254140468531088e-4
CHL,4,351.3855107,1941,243919079437.22,8.29995557,2.612425722840438,17969353,FALSE,4.3172869682312012,Chile,South America,Americas,9.27377229046245e-5,0.023192911145173665,NA,13574.171503961217,22.833320709988836,30.53532311374817,1.9554711329895963e-5,1.0801724469434152e-4
CHN,128,8523.319332,22441,11015542352468.9,4.88872272,0.07132670176922741,1371220000,FALSE,3.0258612632751465,China,Eastern Asia,Asia,0.03358827634837915,0.00311063803193677,NA,8033.3880431067955,NA,9.759192543866046,6.215865675821531e-6,1.6365718119630692e-5
CIV,0,135.0288929,3186,33131113901.4803,5.26271074,9.366165531659734,23226143,FALSE,NA,Côte d’Ivoire,Western Africa,Africa,0,0.004040618718648596,NA,1426.4578454322054,NA,6.204215654747325,5.813659758316307e-6,1.371730123249478e-4
CMR,0,237.3174848,8676,30916218544.4404,4.69952298,1.6395311465592783,23298368,TRUE,NA,Cameroon,Middle Africa,Africa,0,4.936756084208959e-4,NA,1326.96927718029,NA,3.8500550768191144,1.0186013234918428e-5,3.7238659806558127e-4
COD,0,312.6721002,22418,37917704900.1192,3.9869163,0.7157154746705547,76244544,FALSE,NA,Congo - Kinshasa,Middle Africa,Africa,0,0.005856274808428659,NA,497.3169608059982,NA,NA,4.100911144540388e-6,2.940275962565925e-4
COG,0,37.10890091,941,8553154580.39951,3.41535064,8.092840028870935,4856095,FALSE,NA,Congo - Brazzaville,Middle Africa,Africa,0,0.0018474353352867768,NA,1761.3235697406064,NA,4.612759840983341,7.641716422351706e-6,1.937770986770234e-4
COK,0,0,38,NA,NA,NA,NA,NA,NA,Cook Islands,Polynesia,Oceania,NA,NA,NA,NA,NA,NA,NA,NA
COL,15,366.5945795,2172,293481748240.779,6.0226695,0.280160209030736,47520667,FALSE,2.8694586753845215,Colombia,South America,Americas,5.126350135973984e-4,0.02336049679782909,NA,6175.876029702592,NA,10.054572676768194,7.714424115722113e-6,4.570642916270514e-5
COM,0,0,287,988150249.533688,7.68427435,1.6149488567371215,777424,FALSE,NA,Comoros,Eastern Africa,Africa,NA,NA,NA,1271.057041631964,NA,NA,0,3.6916791866471835e-4
CPV,0,0,392,1596800287.16405,5.31378574,2.8440589012144994,524743,FALSE,NA,Cape Verde,Western Africa,Africa,0,0.0016976449852814319,NA,3043.013984300982,NA,NA,0,7.47032356791801e-4
CRI,0,28.97104247,638,54775997555.6182,7.78042454,8.698722143056939,4847804,FALSE,NA,Costa Rica,Central America,Americas,7.506152664449813e-4,0.00612623278397203,NA,11299.136177043916,NA,59.80027245325925,5.976116705625887e-6,1.316059807698496e-4
CUB,9,117.1096718,495,87133000000,12.78461066,0.1177594515955761,11324781,FALSE,NA,Cuba,Caribbean,Americas,0,0.01794278975818576,NA,7694.011919524095,NA,31.258882622101037,1.0341009843810666e-5,4.370945451395484e-5
CUW,0,NA,14,3151910782.1229,NA,23.807443980250664,157980,NA,NA,Curaçao,Caribbean,Americas,0.038612133531911175,0,NA,19951.327903044057,NA,678.5669072034435,NA,8.861881250791239e-5
CYM,0,0,80,NA,NA,38.43885684660748,61724,NA,NA,Cayman Islands,Caribbean,Americas,NA,NA,NA,NA,NA,3405.482470351889,0,0.001296092281770462
CYP,0,51.39226211,237,19680625485.1946,6.8085447,16.896600731275598,1160985,FALSE,NA,Cyprus,Western Asia,Asia,0.0366233426138932,0.11143174284017505,0.04926850906773128,16951.662153425408,96.3836742076771,239.45184476974293,4.4266086219890866e-5,2.0413700435406142e-4
CZE,18,460.0428333,458,186829940545.759,7.24275683,3.841178965526364,10546059,FALSE,7.4572782516479492,Czechia,Eastern Europe,Europe,0.012234496271437616,0.008255969629355072,0.006732372728049407,17715.616852300845,NA,280.7114961143305,4.362225105131689e-5,4.342854520347364e-5
DEU,21,6298.594249,6817,3381389338658.82,11.07906625,14.697255588189355,81686611,FALSE,7.0636534690856934,Germany,Western Europe,Europe,0.003992721232851275,0.0274904246728564,0.024508300387195644,41394.658160794796,NA,NA,7.710681312265482e-5,8.345308878097538e-5
